Timestamp,Date,Time,Type, Pressure,FrontAngle,SideAngle,UpAngle
1459359506.055873,30.03.16,10:38:26.056,Fore,100,160,1,178
1459359505.994328,30.03.16,10:38:25.994,Fore,84,160,1,178
1459359505.451266,30.03.16,10:38:25.451,Fore,75,98,131,200
1459359505.395031,30.03.16,10:38:25.395,Fore,100,98,131,200
1459359505.365926,30.03.16,10:38:25.366,Fore,97,0,256,0
1459359504.794814,30.03.16,10:38:24.795,Fore,62,131,114,237
1459359504.760539,30.03.16,10:38:24.761,Fore,100,141,241,225
1459359504.703837,30.03.16,10:38:24.704,Fore,100,141,241,225
1459359504.220141,30.03.16,10:38:24.220,Fore,11,101,75,195
1459359504.142185,30.03.16,10:38:24.142,Fore,100,101,75,195
1459359504.055886,30.03.16,10:38:24.056,Fore,100,0,256,255
1459359504.013850,30.03.16,10:38:24.014,Fore,34,0,256,255
1459359503.465634,30.03.16,10:38:23.466,Fore,100,127,137,193
1459359503.409952,30.03.16,10:38:23.410,Fore,100,127,137,193
1459359502.817258,30.03.16,10:38:22.817,Fore,63,104,147,231
1459359502.754749,30.03.16,10:38:22.755,Fore,100,0,1,255
1459359502.691895,30.03.16,10:38:22.692,Fore,74,0,1,255
1459359502.166250,30.03.16,10:38:22.166,Fore,66,92,72,188
1459359502.094308,30.03.16,10:38:22.094,Fore,100,92,72,188
1459359502.061436,30.03.16,10:38:22.061,Fore,100,0,66,0
1459359501.534594,30.03.16,10:38:21.535,Fore,69,128,77,210
1459359501.435062,30.03.16,10:38:21.435,Fore,100,128,77,210
1459359501.338584,30.03.16,10:38:21.339,Fore,28,0,54,0
1459359500.815610,30.03.16,10:38:20.816,Fore,50,114,106,218
1459359500.738344,30.03.16,10:38:20.738,Fore,100,114,106,218
1459359500.711062,30.03.16,10:38:20.711,Fore,77,0,256,125
1459359500.138377,30.03.16,10:38:20.138,Fore,21,135,114,218
1459359500.108444,30.03.16,10:38:20.108,Fore,100,105,122,192
1459359500.096978,30.03.16,10:38:20.097,Fore,100,105,122,192
1459359499.448919,30.03.16,10:38:19.449,Fore,100,98,113,214
1459359499.389561,30.03.16,10:38:19.390,Fore,100,255,1,255
1459359498.789131,30.03.16,10:38:18.789,Fore,47,107,173,206
1459359498.759202,30.03.16,10:38:18.759,Fore,100,107,173,206
1459359498.699283,30.03.16,10:38:18.699,Fore,61,0,37,0
1459359498.158283,30.03.16,10:38:18.158,Fore,63,122,154,240
1459359498.129229,30.03.16,10:38:18.129,Fore,100,0,1,37
1459359498.039023,30.03.16,10:38:18.039,Fore,60,0,1,37
1459359497.530444,30.03.16,10:38:17.530,Fore,50,92,161,0
1459359497.439060,30.03.16,10:38:17.439,Fore,100,92,161,0
1459359496.840511,30.03.16,10:38:16.841,Fore,40,108,140,229
1459359496.809433,30.03.16,10:38:16.809,Fore,100,211,132,163
1459359496.748280,30.03.16,10:38:16.748,Fore,83,211,132,163
1459359496.148425,30.03.16,10:38:16.148,Fore,100,111,158,221
1459359496.089091,30.03.16,10:38:16.089,Fore,100,0,256,255
1459359495.489694,30.03.16,10:38:15.490,Fore,64,80,256,228
1459359495.459003,30.03.16,10:38:15.459,Fore,100,80,256,228
1459359495.400348,30.03.16,10:38:15.400,Fore,79,0,67,216
1459359494.859932,30.03.16,10:38:14.860,Fore,14,109,120,224
1459359494.798957,30.03.16,10:38:14.799,Fore,100,109,120,224
1459359494.740912,30.03.16,10:38:14.741,Fore,99,0,1,255
1459359494.138395,30.03.16,10:38:14.138,Fore,100,112,47,206
1459359494.108592,30.03.16,10:38:14.109,Fore,100,112,47,206
1459359494.051690,30.03.16,10:38:14.052,Fore,20,0,65,0
1459359493.509177,30.03.16,10:38:13.509,Fore,89,127,96,235
1459359493.450409,30.03.16,10:38:13.450,Fore,100,170,1,0
1459359493.389464,30.03.16,10:38:13.389,Fore,97,170,1,0
1459359492.849165,30.03.16,10:38:12.849,Fore,78,100,171,255
1459359492.788761,30.03.16,10:38:12.789,Fore,100,100,171,255
